sedalea,sedaleaname,year,fips,stateabb,multi_comp,subcat,subgroup,gap,gradecenter,tot_asmts,cellcount,mn_asmts,flag_estasmt,cs_mn_avg_ol,cs_mn_avg_ol_se,cs_mn_avg_ol_se_adj,cs_mn_avg_eb,cs_mn_avg_eb_se,cs_mn_avg_eb_se_adj,sedaleaname_cov,gslo,gshi,urban,suburb,town,rural,locale_city_large,locale_city_midsize,locale_city_small,locale_suburb_large,locale_suburb_midsize,locale_suburb_small,locale_town_fringe,locale_town_distant,locale_town_remote,locale_rural_fringe,locale_rural_distant,locale_rural_remote,avgrdall,pernam,perasn,perhsp,perblk,perwht,perfl,perrl,perfrl,perecd,perell,perspeced,totenrl,diffexpecd_blkwht,diffexpecd_hspwht,diffexpecd_namwht,diffexpecd_asnwht,hswhtblk,hswhthsp,hsflnfl,hsecdnec,rswhtblk,rswhthsp,rsflnfl,rsecdnec,diffexpmin2_blkwht,diffexpmin2_hspwht,diffexpmin2_namwht,diffexpmin2_asnwht,sesall,sesasn,sesblk,seshsp,sesnam,seswht,lninc50all,lninc50asn,lninc50blk,lninc50hsp,lninc50nam,lninc50wht,baplusall,baplusasn,baplusblk,baplushsp,baplusnam,bapluswht,povertyall,povertyasn,povertyblk,povertyhsp,povertynam,povertywht,unempall,unempasn,unempblk,unemphsp,unempnam,unempwht,snapall,snapasn,snapblk,snaphsp,snapnam,snapwht,single_momall,single_momasn,single_momblk,single_momhsp,single_momnam,single_momwht,seswhtblk,seswhthsp,seswhtasn,seswhtnam,urbanicity
101110,Dallas County,2018,1,AL,0,all,all,0,5.5,2799,12,233.25,0,-0.7370199424357936,0.021427029165092,0.0246334414041129,-0.7237421117274047,0.0191031578056708,0.0225974290430445,Dallas County,Pre-Kindergarten,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0.29757786,0.50487572,0.19754639,232,0,0.0021551724,0.0086206896,0.74784482,0.23563218,0.82772434,0.045865465,0.87358981,0.73142856,0.0034998409,0.14953865,1392,0.15131588,0.055146921,NA,-0.014333069,0.35252613,0.18308394,0.13144907,0.082587965,0.31960791,0.087275587,0.11583671,0.092661291,0.31836501,0.22864805,NA,-0.0044885278,-1.2219731,NA,-2.3641117,NA,NA,0.50676668,10.451492,NA,10.237461,NA,NA,10.887524,0.12911043,NA,0.10274399,NA,NA,0.16449645,0.21522775,NA,0.27739722,NA,NA,0.12071504,0.082177699,NA,0.13592015,NA,NA,0.029974183,0.24105076,NA,0.33748925,NA,NA,0.10625549,0.28507659,NA,0.42224529,NA,NA,0.12008339,2.7911878,NA,NA,NA,Rural
101620,Gadsden City,2018,1,AL,0,all,all,0,5.5,4319,12,359.9166666666667,0,-0.3402652771393973,0.0174161133024724,0.0212369927045407,-0.3455583634946998,0.015935490909306,0.0199913239113283,Gadsden City,Pre-Kindergarten,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,367.16666,0.0022696324,0.010440309,0.14480254,0.47208351,0.35315478,0.65674615,0.06519413,0.72194028,0.76492363,0.069038458,0.1551923,2203,0.14350967,0.18617891,-0.10180557,-0.13714722,0.17651582,0.2348433,0.12857099,0.23063545,0.22340752,0.25602716,0.15934266,0.25286919,0.21664327,0.23743054,0.062752016,-0.043205056,-1.4064555,NA,-2.3828597,-1.8323689,NA,-0.72777283,10.31137,NA,10.117667,10.201364,NA,10.380086,0.160722,NA,0.1204393,0.060961399,NA,0.19164248,0.26491627,NA,0.33833739,0.39066193,NA,0.18963046,0.085157625,NA,0.086418755,0.060412336,NA,0.074706689,0.22322692,NA,0.29371813,0.2217848,NA,0.17625351,0.31385872,NA,0.51916814,0.22586982,NA,0.18086566,1.6824226,1.3258808,NA,NA,City
101760,Homewood City,2018,1,AL,0,all,all,0,5.5,3972,12,331,0,0.5911180780994549,0.0233734085102769,0.0263439761986767,0.5946014895777605,0.0203135948171923,0.0236295428564357,Homewood City,Pre-Kindergarten,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,335.5,9.9354202e-4,0.019374069,0.13859911,0.16840537,0.63089913,0.19811307,0.033024829,0.2311379,0.25754526,0.056927782,0.068454482,2013,0.053059667,0.028880572,-0.041044384,0.047563586,0.06040277,0.019476429,0.012781198,0.032013711,0.062952876,0.020131318,0.013132126,0.038228586,0.062394783,0.034517702,-0.038031131,0.056413192,1.3641396,NA,-2.2497153,-0.17402288,NA,2.0081763,11.156401,NA,10.11869,10.539014,NA,11.358244,0.66252291,NA,0.2665396,0.42516306,NA,0.72159761,0.099126115,NA,0.36751375,0.2070646,NA,0.054283615,0.033534758,NA,0.10884005,0.005720512,NA,0.024400096,0.039488621,NA,0.18934913,0.11576882,NA,0.012456798,0.17485435,NA,0.475326,0.2200959,NA,0.097203366,3.6146176,1.6473341,NA,NA,Suburb
103150,Talladega City,2018,1,AL,0,all,all,0,5.5,1851,12,154.25,0,-0.6383560876977667,0.024867280519457,0.027677978556996,-0.6497432195170837,0.0211478395654604,0.0243504472134194,Talladega City,Pre-Kindergarten,12,0,0,0.26686507,0.73313493,0,0,0,0,0,0,0,0.26686507,0,0.73313493,0,0,155,0,0.0053763441,0.026881721,0.66021508,0.29247311,0.74901932,0.078471437,0.82749075,0.86717063,0.01140873,0.11359127,930,0.060651254,0.081255473,NA,0.073987566,0.10289776,0.32907653,0.026597727,0.082271405,0.12937985,0.2095027,0.032470554,0.064748526,0.13003415,0.19528607,NA,0.19132212,-2.2491674,NA,-3.4102943,NA,NA,-0.55684847,10.227642,NA,9.9372568,NA,NA,10.447783,0.14005187,NA,0.11666439,NA,NA,0.17593971,0.2685633,NA,0.33003104,NA,NA,0.16570614,0.11635145,NA,0.17275414,NA,NA,0.065402962,0.23234785,NA,0.3401632,NA,NA,0.12033352,0.39599976,NA,0.6279853,NA,NA,0.15448169,2.6213951,NA,NA,NA,Rural
103580,Winston County,2018,1,AL,0,all,all,0,5.5,2074,12,172.8333333333333,0,-0.2055496260470515,0.022003784030692,0.0251367334440555,-0.2207473496317109,0.0194093191761237,0.022856833378395,Winston County,Pre-Kindergarten,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.24832496,0.75167507,173.33333,0.0038461538,0,0.011538462,0.0086538466,0.9721154,0.44888175,0.12058503,0.56946677,0.61234331,0.0012562814,0.13944724,1040,0.050689865,-0.01686818,-0.01539129,NA,0.16932008,0.18557769,0.011924595,0.017589139,0.015231728,0.020899769,0.016166041,0.023483736,0.015864452,0.019081047,0.029982576,NA,-0.15106656,NA,NA,NA,NA,-0.081014343,10.53249,NA,NA,NA,NA,10.545648,0.1475687,NA,NA,NA,NA,0.14980534,0.14889069,NA,NA,NA,NA,0.13987455,0.072825089,NA,NA,NA,NA,0.063875854,0.12542731,NA,NA,NA,NA,0.11850418,0.12300128,NA,NA,NA,NA,0.12019273,NA,NA,NA,NA,Rural
401260,Bonita Elementary District (4224),2018,4,AZ,0,all,all,0,5.5,50,5,10,0,0.0168177655404778,0.1311417914348603,0.1317036235768138,0.0169935638318085,0.054375374153101,0.0556764508000011,Bonita Elementary District (4224),Pre-Kindergarten,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0.42592594,0.018518519,0.55555558,0.33720931,0.19767441,0.53488374,0.50877196,0,0.12790698,54,0,0,NA,NA,-7.6520301e-10,1.5129659e-9,3.2439758e-9,8.8880414e-10,0,0,0,0,0,0,NA,NA,0.31071755,NA,NA,NA,NA,NA,10.750287,NA,NA,NA,NA,NA,0.19613431,NA,NA,NA,NA,NA,0.13179116,NA,NA,NA,NA,NA,0.054018062,NA,NA,NA,NA,NA,0.05906098,NA,NA,NA,NA,NA,0.11758344,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rural
402920,Florence Unified School District (4437),2018,4,AZ,0,all,all,0,5.5,11681,11,1061.909090909091,0,-0.2402610869189253,0.0111425555770069,0.0164873147390758,-0.2339469134877062,0.0105920474107081,0.0159805296453498,Florence Unified School District (4437),Pre-Kindergarten,12,0,0.42585489,0.060800668,0.51334447,0,0,0,0.42585489,0,0,0.060800668,0,0,0.51334447,0,0,1023.8333,0.018557709,0.014976396,0.32606217,0.069510013,0.53328991,0.38959426,0.10273761,0.49233186,0.49449661,0.065069757,0.32290155,6143,0.091227017,0.07817068,0.1165349,-0.0103137,0.074697495,0.050258692,0.13186067,0.17916858,0.049910881,0.064232424,0.14151554,0.20425804,0.053497087,0.062768117,0.075755604,0.0092660831,0.18546814,1.1384834,-0.18229386,-0.055587396,NA,0.38181219,10.883183,11.04637,11.020898,10.860734,NA,10.893997,0.15715426,0.29074737,0.11631773,0.095790915,NA,0.19415781,0.10966031,0.089142501,0.081680149,0.11381558,NA,0.098160163,0.075381666,0.025775276,0.10039514,0.065180548,NA,0.067235634,0.10624329,0.054144476,0.17395684,0.16639502,NA,0.079725288,0.15424456,0.090118222,0.26128569,0.15778233,NA,0.14122847,0.7632041,0.4927071,-0.44917822,NA,Rural
407520,Santa Cruz Valley Unified District (4458),2018,4,AZ,0,all,all,0,5.5,2902,11,263.8181818181818,0,-0.3286971289363336,0.0212014358779698,0.0244371824441019,-0.32493473578357007,0.0190313218824406,0.0224805932303459,Santa Cruz Valley Unified District (4458),Pre-Kindergarten,12,0,0,0.86565351,0.1343465,0,0,0,0,0,0,0,0,0.86565351,0.11854103,0.015805472,0,255.83333,0,0.0039087948,0.96482086,0.0013029316,0.026710099,0.64634132,0.10861281,0.75495416,0.52499998,0.18844984,0.11367781,1535,0.058833897,-0.0049409769,NA,-0.018946972,NA,0.073425047,0.019512298,0.012290865,NA,0.029869286,0.025435483,0.015794864,0.058786422,0.028913707,NA,0.019397533,-0.17044622,NA,NA,-0.58041978,NA,0.98400009,10.735263,NA,NA,10.694405,NA,10.77568,0.24834307,NA,NA,0.17184253,NA,0.44405735,0.15822926,NA,NA,0.17494297,NA,0.10085872,0.069047675,NA,NA,0.076920561,NA,0.038706075,0.16538797,NA,NA,0.2070508,NA,0.077354245,0.1801886,NA,NA,0.214662,NA,0.08302933,NA,1.4771521,NA,NA,Town
407750,Deer Valley Unified District (4246),2018,4,AZ,0,all,all,0,5.5,34901,11,3172.818181818182,0,0.3456141415494947,0.0058255349418305,0.0134763444552722,0.3488294021678012,0.0057369547926663,0.013270211365623,Deer Valley Unified District (4246),Pre-Kindergarten,12,0.47032461,0.49215069,0,0.037524689,0.47032461,0,0,0.49215069,0,0,0,0,0,0.037524689,0,0,3117.8333,0.0093547869,0.043352757,0.18896669,0.035334367,0.68498421,0.21472964,0.056419365,0.27114901,0.26405966,0.06668444,0.30452242,18707,0.14496322,0.14437786,0.20718548,0.0076988465,0.12548038,0.099451818,0.16087395,0.16043347,0.059692457,0.11415815,0.18524744,0.19397169,0.1202189,0.11993736,0.14836873,-0.023384055,1.1131641,1.7751026,0.51480204,0.54449117,-0.28633741,1.1698166,11.188096,11.278529,10.96961,11.029158,11.184525,11.200494,0.37006319,0.65544772,0.43066192,0.25215101,0.18878351,0.36260208,0.073230565,0.06619858,0.1068233,0.10961544,0.18156287,0.065602668,0.046191424,0.044771507,0.071627326,0.048724957,0.097479165,0.043700062,0.052302182,0.016769027,0.070639655,0.10339032,0.16435134,0.046631608,0.12844959,0.067041442,0.26509562,0.15708987,0.22693816,0.12500113,0.6670109,0.6272077,-0.59260386,1.3463446,City
409090,Wellton Elementary District (4504),2018,4,AZ,0,all,all,0,5.5,144,6,24,0,-0.5962153564339733,0.1040517051613366,0.1047589249157339,-0.5090278688970592,0.0489305899419036,0.0503724973716604,Wellton Elementary District (4504),Pre-Kindergarten,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,21.833334,0,0,0.80916029,0,0.14503817,0.68837208,0.10697675,0.79534882,0.80158728,0.10676824,0.17738061,131,NA,0,NA,NA,NA,1.0226785e-8,-2.3943661e-8,3.5883236e-9,NA,0,0,0,NA,0,NA,NA,-0.12288701,NA,NA,-0.99430901,NA,1.0181028,10.746101,NA,NA,10.762359,NA,10.793425,0.12932998,NA,NA,0.058284763,NA,0.18813957,0.1783587,NA,NA,0.27427366,NA,0.0924071,0.056568258,NA,NA,0.063643076,NA,0.020182401,0.15235718,NA,NA,0.20395109,NA,0.063426808,0.12009168,NA,NA,0.19735214,NA,0.009043701,NA,1.5308492,NA,NA,Rural
