sedalea,sedaleaname,year,fips,stateabb,multi_comp,subcat,subgroup,gap,gradecenter,tot_asmts,cellcount,mn_asmts,flag_estasmt,cs_mn_avg_ol,cs_mn_avg_ol_se,cs_mn_avg_ol_se_adj,cs_mn_avg_eb,cs_mn_avg_eb_se,cs_mn_avg_eb_se_adj,sedaleaname_cov,gslo,gshi,urban,suburb,town,rural,locale_city_large,locale_city_midsize,locale_city_small,locale_suburb_large,locale_suburb_midsize,locale_suburb_small,locale_town_fringe,locale_town_distant,locale_town_remote,locale_rural_fringe,locale_rural_distant,locale_rural_remote,avgrdall,pernam,perasn,perhsp,perblk,perwht,perfl,perrl,perfrl,perecd,perell,perspeced,totenrl,diffexpecd_blkwht,diffexpecd_hspwht,diffexpecd_namwht,diffexpecd_asnwht,hswhtblk,hswhthsp,hsflnfl,hsecdnec,rswhtblk,rswhthsp,rsflnfl,rsecdnec,diffexpmin2_blkwht,diffexpmin2_hspwht,diffexpmin2_namwht,diffexpmin2_asnwht,sesall,sesasn,sesblk,seshsp,sesnam,seswht,lninc50all,lninc50asn,lninc50blk,lninc50hsp,lninc50nam,lninc50wht,baplusall,baplusasn,baplusblk,baplushsp,baplusnam,bapluswht,povertyall,povertyasn,povertyblk,povertyhsp,povertynam,povertywht,unempall,unempasn,unempblk,unemphsp,unempnam,unempwht,snapall,snapasn,snapblk,snaphsp,snapnam,snapwht,single_momall,single_momasn,single_momblk,single_momhsp,single_momnam,single_momwht,seswhtblk,seswhthsp,seswhtasn,seswhtnam,urbanicity
100005,Albertville City,2018,1,AL,0,all,all,0,5.5,5103,12,425.25,0,-0.3772012401483257,0.0155639761156186,0.0197465492959075,-0.3822170327690331,0.0143060646080712,0.0187183505089892,Albertville City,Pre-Kindergarten,12,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,427.16666,0.0019508388,0.0046820133,0.48653921,0.0351151,0.4432306,0.60170835,0.059942406,0.66165078,0.42459852,0.17096062,0.074898787,2563,0,0,0,0,-2.5514169e-9,7.3954456e-9,-1.6912114e-8,-1.8220596e-10,0,0,0,0,0,0,0,0,-0.63051403,NA,NA,-2.1851752,NA,-0.021480026,10.512168,NA,NA,10.162606,NA,10.636681,0.16527621,NA,NA,0.1016611,NA,0.18979575,0.26666874,NA,NA,0.51380271,NA,0.146626,0.02448974,NA,NA,0.024549397,NA,0.026117381,0.19914623,NA,NA,0.3087872,NA,0.14428824,0.20936646,NA,NA,0.21398382,NA,0.19180712,NA,1.961794,NA,NA,Town
100006,Marshall County,2018,1,AL,0,all,all,0,5.5,5221,12,435.0833333333333,0,-0.437644774923517,0.0152638615338989,0.0195108771072496,-0.4353207537654652,0.0142592002669735,0.0186825574657413,Marshall County,Pre-Kindergarten,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0.20981985,0.79018015,0,434.66666,0.0038343559,0.0030674846,0.24731596,0.0088190185,0.72162575,0.65125066,0.083473504,0.73472416,0.78300804,0.069808647,0.13997166,2608,0.020336131,0.093995839,-0.085119478,-0.11034141,0.11182611,0.18522926,0.051068153,0.089512981,0.010246616,0.17463377,0.066985205,0.094980061,-0.037888937,0.16857073,-0.073398285,-0.070373416,-0.19300523,NA,NA,-1.4288452,NA,-0.038237963,10.598926,NA,NA,10.352661,NA,10.62876,0.17039001,NA,NA,0.04988955,NA,0.17783734,0.19711918,NA,NA,0.39244294,NA,0.165635,0.06302654,NA,NA,0.047858071,NA,0.061028823,0.12775491,NA,NA,0.22281331,NA,0.11488948,0.14722872,NA,NA,0.19901778,NA,0.1412569,NA,1.3869601,NA,NA,Rural
100007,Hoover City,2018,1,AL,0,all,all,0,5.5,12861,12,1071.75,0,0.3237703853212963,0.0115564751635858,0.0167702407488604,0.3262241223040737,0.011150475598822,0.016433084533556,Hoover City,Pre-Kindergarten,12,0.94032937,0,0,0.059670635,0,0,0.94032937,0,0,0,0,0,0,0.059670635,0,0,1067.3334,7.80762e-4,0.071361646,0.08557152,0.24234854,0.55356026,0.17941895,0.044978522,0.22439747,0.25633058,0.12468164,0.21179473,6404,0.018517166,0.04065242,0.065857641,-0.019488618,0.037545417,0.047005903,0.039548252,0.042906828,0.044694632,0.039724972,0.036330186,0.047134176,0.039913956,0.041479204,0.090025187,0.015363261,1.5054671,1.8016653,0.28969014,-0.060908318,NA,1.8447303,11.242557,11.178123,10.829409,10.737166,NA,11.359176,0.57104564,0.67007113,0.42992163,0.24795665,NA,0.61279541,0.068580411,0.10847115,0.093640782,0.23105909,NA,0.045883629,0.035610382,0.017011076,0.043088596,0.046391767,NA,0.033227678,0.039828368,0.018225187,0.091376804,0.17634027,NA,0.021958211,0.12225367,0.039861023,0.34760788,0.083492838,NA,0.08459606,1.5456799,1.7647204,-0.15941548,NA,City
100008,Madison City,2018,1,AL,0,all,all,0,5.5,9524,12,793.6666666666666,0,0.5810987147987282,0.0139498275985748,0.0185009877195278,0.5889828709551952,0.0132625503525788,0.0179334437033649,Madison City,Pre-Kindergarten,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,791,0.0069532236,0.09439528,0.050568901,0.19911504,0.59818792,0.15508941,0.047653496,0.2027429,0.21833053,0.047748011,0.1537381,4746,-6.5223378e-4,0.0034931626,0.0032581538,-0.0054168901,0.016798807,0.024482906,0.010583298,0.007251143,0.018531755,0.01474346,0.008673328,0.007625049,0.015144761,0.016089769,0.0091396151,0.0093564643,1.4612418,1.9831414,0.018488329,-0.38542297,NA,1.8424666,11.299636,11.538354,10.948934,10.698947,NA,11.414625,0.57296783,0.70876384,0.41135958,0.34479371,NA,0.61008179,0.064316057,0.064102679,0.07502421,0.27183229,NA,0.045555197,0.046591111,0.040140722,0.080010675,0.035042111,NA,0.040669903,0.049092568,0.011528214,0.15578796,0.18166569,NA,0.020365307,0.1269996,0.080050953,0.33688268,0.17324789,NA,0.085549198,1.7624149,1.5432212,-0.23590906,NA,Suburb
100011,Leeds City,2018,1,AL,0,all,all,0,5.5,1812,12,151,0,-0.4438033650434117,0.0267156869361138,0.0293499026410072,-0.4288979763513231,0.0224647863123591,0.0255025446821886,Leeds City,Pre-Kindergarten,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,154.83333,0.0021528525,0.0064585577,0.14101183,0.2174381,0.60818082,0.44564047,0.081808396,0.52744889,0.52980131,0.05319149,0.14133738,929,0,0,0,0,-3.6927561e-9,-6.8170496e-9,-7.9371123e-9,-7.4115523e-9,0,0,0,0,0,0,0,0,0.62887734,NA,-0.21026199,NA,NA,0.75670028,10.938816,NA,10.752775,NA,NA,10.976669,0.28802595,NA,0.19156392,NA,NA,0.30161721,0.10748646,NA,0.17692833,NA,NA,0.078059018,0.053173296,NA,0.032038663,NA,NA,0.054496814,0.063688211,NA,0.17661536,NA,NA,0.049202934,0.15702477,NA,0.26443949,NA,NA,0.14245753,1.0469428,NA,NA,NA,Suburb
100012,Boaz City,2018,1,AL,0,all,all,0,5.5,2251,12,187.5833333333333,0,-0.38395622543249,0.0226601306974874,0.0257132335538604,-0.3752902914858114,0.0198807609651349,0.023258499903474,Boaz City,Pre-Kindergarten,12,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,184.16667,0.0027149322,0.0081447968,0.31855205,0.022624435,0.61176473,0.6034863,0.082631141,0.68611741,0.70304114,0.089182496,0.080099091,1105,0,0,0,0,1.1916216e-8,4.8226828e-10,4.188923e-9,-1.1919457e-8,0,0,0,0,0,0,0,0,-0.24583293,NA,NA,-0.85043049,NA,-0.074313618,10.536872,NA,NA,10.540324,NA,10.549372,0.197519,NA,NA,0.002628193,NA,0.21253559,0.18955378,NA,NA,0.25443545,NA,0.14890483,0.049847659,NA,NA,0.016080497,NA,0.04783529,0.14250694,NA,NA,0.18027182,NA,0.11341596,0.17546459,NA,NA,0.066461451,NA,0.16539986,NA,1.0544367,NA,NA,Town
100013,Trussville City,2018,1,AL,0,all,all,0,5.5,4386,12,365.5,0,0.4338657371736172,0.0165266747023847,0.0205138936646996,0.429930163186263,0.0154320121976379,0.0195923495700519,Trussville City,Kindergarten,12,0,0.67644501,0,0.32355496,0,0,0,0.67644501,0,0,0,0,0,0.32355496,0,0,363.16666,0.004589261,0.021110602,0.016980266,0.11519045,0.8155117,0.062672377,0.019527623,0.082199998,0.090743273,0.0039113429,0.079096042,2179,0.0063345083,0.0059129931,0.002688861,0.0053901956,0.0097240955,0.038599424,0.018082103,0.020405233,0.0071912976,0.006930117,0.010049319,0.014736934,0.0071481094,0.0061563081,-0.0037383945,-7.6101843e-4,1.3549881,NA,0.34819734,NA,NA,1.4036027,11.284469,NA,11.221034,NA,NA,11.288831,0.42551664,NA,0.34059393,NA,NA,0.43070981,0.054124974,NA,0.11973057,NA,NA,0.054776855,0.037835069,NA,0.086178213,NA,NA,0.035968386,0.045106996,NA,0.049651902,NA,NA,0.04070691,0.13537644,NA,0.29629001,NA,NA,0.12701903,1.0649579,NA,NA,NA,Suburb
100030,Alexander City,2018,1,AL,0,all,all,0,5.5,2721,12,226.75,0,-0.3925794417642767,0.020613833768466,0.0239294588154874,-0.3909021430600935,0.0182574659029154,0.0218871702694339,Alexander City,Pre-Kindergarten,12,0,0,0.73350751,0.26649249,0,0,0,0,0,0,0,0.73350751,0,0.26649249,0,0,226.66667,0.0036764706,0.010294118,0.089705884,0.40808824,0.48161766,0.57812279,0.044536121,0.62265891,0.65631932,0.026929392,0.15402299,1360,0,0,0,0,1.1384349e-8,-3.0062841e-10,-1.5530004e-8,7.3831927e-9,0,0,0,0,0,0,0,0,-1.1847526,NA,-3.731921,NA,NA,0.23389079,10.45897,NA,9.9267025,NA,NA,10.694923,0.16315755,NA,0.043889213,NA,NA,0.22460279,0.21453081,NA,0.39594299,NA,NA,0.10129481,0.084314108,NA,0.16796726,NA,NA,0.041696616,0.24478605,NA,0.44238988,NA,NA,0.1340116,0.26042968,NA,0.51532376,NA,NA,0.1480113,3.6942673,NA,NA,NA,Town
100060,Andalusia City,2018,1,AL,0,all,all,0,5.5,1648,12,137.3333333333333,0,-0.4672716216070273,0.0288888412957718,0.0313409318301236,-0.4247483427872877,0.0236401596290522,0.0265437433022198,Andalusia City,Pre-Kindergarten,12,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,135.16667,0.0012330456,0.013563502,0.023427866,0.32922319,0.61528975,0.52448547,0.068926275,0.59341174,0.62971985,0.0078651682,0.13988765,811,0,0,0,0,-1.7149439e-8,9.97548e-9,2.5883975e-9,7.6367188e-9,0,0,0,0,0,0,0,0,-0.6763348,NA,-1.9452571,NA,NA,-0.22441775,10.423781,NA,10.247476,NA,NA,10.528433,0.22072816,NA,0.064429112,NA,NA,0.28049698,0.17088512,NA,0.2663444,NA,NA,0.13411553,0.075656876,NA,0.12551801,NA,NA,0.05684549,0.15567978,NA,0.22680615,NA,NA,0.13405222,0.24878791,NA,0.40821728,NA,NA,0.18768489,1.819236,NA,NA,NA,Town
100090,Anniston City,2018,1,AL,0,all,all,0,5.5,1676,12,139.6666666666667,0,-0.8529206491208605,0.0263049594235895,0.0289765378685041,-0.8429751794354202,0.0215248368524333,0.0246785688955203,Anniston City,Pre-Kindergarten,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,143.16667,0.0011641444,0.0034924331,0.046565775,0.8917346,0.053550642,0.86458749,0.040823415,0.90541089,0.80190933,0.011811024,0.10875984,859,0.0096153617,0.0044629374,0.0079268217,-0.0107418,0.051907543,0.061649278,0.03056005,0.0058373222,0.017572727,0.07350453,0.026007893,0.0053469287,0.015714208,0.0072275996,0.0088276863,0.034033716,-1.7171451,NA,-3.4903591,NA,NA,0.24368741,10.346536,NA,9.9414997,NA,NA,10.634893,0.20554031,NA,0.11543042,NA,NA,0.27313906,0.27189726,NA,0.40567937,NA,NA,0.1186652,0.10141472,NA,0.17828105,NA,NA,0.04421309,0.25153291,NA,0.37131685,NA,NA,0.10806826,0.35579026,NA,0.54143775,NA,NA,0.15865269,3.5331631,NA,NA,NA,City
