sedalea,year,sedaleaname,gslo,gshi,fips,stateabb,urban,suburb,town,rural,locale_city_large,locale_city_midsize,locale_city_small,locale_suburb_large,locale_suburb_midsize,locale_suburb_small,locale_town_fringe,locale_town_distant,locale_town_remote,locale_rural_fringe,locale_rural_distant,locale_rural_remote,avgrdall,pernam,perasn,perhsp,perblk,perwht,perfl,perrl,perfrl,perecd,perell,perspeced,totenrl,diffexpecd_blkwht,diffexpecd_hspwht,diffexpecd_namwht,diffexpecd_asnwht,hswhtblk,hswhthsp,hsflnfl,hsecdnec,rswhtblk,rswhthsp,rsflnfl,rsecdnec,diffexpmin2_blkwht,diffexpmin2_hspwht,diffexpmin2_namwht,diffexpmin2_asnwht,sesall,sesasn,sesblk,seshsp,sesnam,seswht,lninc50all,lninc50asn,lninc50blk,lninc50hsp,lninc50nam,lninc50wht,baplusall,baplusasn,baplusblk,baplushsp,baplusnam,bapluswht,povertyall,povertyasn,povertyblk,povertyhsp,povertynam,povertywht,unempall,unempasn,unempblk,unemphsp,unempnam,unempwht,snapall,snapasn,snapblk,snaphsp,snapnam,snapwht,single_momall,single_momasn,single_momblk,single_momhsp,single_momnam,single_momwht,seswhtblk,seswhthsp,seswhtasn,seswhtnam,urbanicity
100005,2018,Albertville City,Pre-Kindergarten,12,1,AL,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,427.16666,.0019508388,.0046820133,.48653921,.0351151,.4432306,.60170835,.059942406,.66165078,.42459852,.17096062,.074898787,2563,0,0,0,0,-2.5514169e-09,7.3954456e-09,-1.6912114e-08,-1.8220596e-10,0,0,0,0,0,0,0,0,-.63051403,,,-2.1851752,,-.021480026,10.512168,,,10.162606,,10.636681,.16527621,,,.1016611,,.18979575,.26666874,,,.51380271,,.146626,.02448974,,,.024549397,,.026117381,.19914623,,,.3087872,,.14428824,.20936646,,,.21398382,,.19180712,,1.961794,,,Town
100006,2018,Marshall County,Pre-Kindergarten,12,1,AL,0,0,0,1,0,0,0,0,0,0,0,0,0,.20981985,.79018015,0,434.66666,.0038343559,.0030674846,.24731596,.0088190185,.72162575,.65125066,.083473504,.73472416,.78300804,.069808647,.13997166,2608,.020336131,.093995839,-.085119478,-.11034141,.11182611,.18522926,.051068153,.089512981,.010246616,.17463377,.066985205,.094980061,-.037888937,.16857073,-.073398285,-.070373416,-.19300523,,,-1.4288452,,-.038237963,10.598926,,,10.352661,,10.62876,.17039001,,,.04988955,,.17783734,.19711918,,,.39244294,,.165635,.06302654,,,.047858071,,.061028823,.12775491,,,.22281331,,.11488948,.14722872,,,.19901778,,.1412569,,1.3869601,,,Rural
100007,2018,Hoover City,Pre-Kindergarten,12,1,AL,.94032937,0,0,.059670635,0,0,.94032937,0,0,0,0,0,0,.059670635,0,0,1067.3334,.000780762,.071361646,.08557152,.24234854,.55356026,.17941895,.044978522,.22439747,.25633058,.12468164,.21179473,6404,.018517166,.04065242,.065857641,-.019488618,.037545417,.047005903,.039548252,.042906828,.044694632,.039724972,.036330186,.047134176,.039913956,.041479204,.090025187,.015363261,1.5054671,1.8016653,.28969014,-.060908318,,1.8447303,11.242557,11.178123,10.829409,10.737166,,11.359176,.57104564,.67007113,.42992163,.24795665,,.61279541,.068580411,.10847115,.093640782,.23105909,,.045883629,.035610382,.017011076,.043088596,.046391767,,.033227678,.039828368,.018225187,.091376804,.17634027,,.021958211,.12225367,.039861023,.34760788,.083492838,,.08459606,1.5456799,1.7647204,-.15941548,,City
100008,2018,Madison City,Pre-Kindergarten,12,1,AL,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,791,.0069532236,.09439528,.050568901,.19911504,.59818792,.15508941,.047653496,.2027429,.21833053,.047748011,.1537381,4746,-.00065223378,.0034931626,.0032581538,-.0054168901,.016798807,.024482906,.010583298,.007251143,.018531755,.01474346,.008673328,.007625049,.015144761,.016089769,.0091396151,.0093564643,1.4612418,1.9831414,.018488329,-.38542297,,1.8424666,11.299636,11.538354,10.948934,10.698947,,11.414625,.57296783,.70876384,.41135958,.34479371,,.61008179,.064316057,.064102679,.07502421,.27183229,,.045555197,.046591111,.040140722,.080010675,.035042111,,.040669903,.049092568,.011528214,.15578796,.18166569,,.020365307,.1269996,.080050953,.33688268,.17324789,,.085549198,1.7624149,1.5432212,-.23590906,,Suburb
100011,2018,Leeds City,Pre-Kindergarten,12,1,AL,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,154.83333,.0021528525,.0064585577,.14101183,.2174381,.60818082,.44564047,.081808396,.52744889,.52980131,.05319149,.14133738,929,0,0,0,0,-3.6927561e-09,-6.8170496e-09,-7.9371123e-09,-7.4115523e-09,0,0,0,0,0,0,0,0,.62887734,,-.21026199,,,.75670028,10.938816,,10.752775,,,10.976669,.28802595,,.19156392,,,.30161721,.10748646,,.17692833,,,.078059018,.053173296,,.032038663,,,.054496814,.063688211,,.17661536,,,.049202934,.15702477,,.26443949,,,.14245753,1.0469428,,,,Suburb
100012,2018,Boaz City,Pre-Kindergarten,12,1,AL,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,184.16667,.0027149322,.0081447968,.31855205,.022624435,.61176473,.6034863,.082631141,.68611741,.70304114,.089182496,.080099091,1105,0,0,0,0,1.1916216e-08,4.8226828e-10,4.1889230e-09,-1.1919457e-08,0,0,0,0,0,0,0,0,-.24583293,,,-.85043049,,-.074313618,10.536872,,,10.540324,,10.549372,.197519,,,.002628193,,.21253559,.18955378,,,.25443545,,.14890483,.049847659,,,.016080497,,.04783529,.14250694,,,.18027182,,.11341596,.17546459,,,.066461451,,.16539986,,1.0544367,,,Town
100013,2018,Trussville City,Kindergarten,12,1,AL,0,.67644501,0,.32355496,0,0,0,.67644501,0,0,0,0,0,.32355496,0,0,363.16666,.004589261,.021110602,.016980266,.11519045,.8155117,.062672377,.019527623,.082199998,.090743273,.0039113429,.079096042,2179,.0063345083,.0059129931,.002688861,.0053901956,.0097240955,.038599424,.018082103,.020405233,.0071912976,.006930117,.010049319,.014736934,.0071481094,.0061563081,-.0037383945,-.00076101843,1.3549881,,.34819734,,,1.4036027,11.284469,,11.221034,,,11.288831,.42551664,,.34059393,,,.43070981,.054124974,,.11973057,,,.054776855,.037835069,,.086178213,,,.035968386,.045106996,,.049651902,,,.04070691,.13537644,,.29629001,,,.12701903,1.0649579,,,,Suburb
100030,2018,Alexander City,Pre-Kindergarten,12,1,AL,0,0,.73350751,.26649249,0,0,0,0,0,0,0,.73350751,0,.26649249,0,0,226.66667,.0036764706,.010294118,.089705884,.40808824,.48161766,.57812279,.044536121,.62265891,.65631932,.026929392,.15402299,1360,0,0,0,0,1.1384349e-08,-3.0062841e-10,-1.5530004e-08,7.3831927e-09,0,0,0,0,0,0,0,0,-1.1847526,,-3.731921,,,.23389079,10.45897,,9.9267025,,,10.694923,.16315755,,.043889213,,,.22460279,.21453081,,.39594299,,,.10129481,.084314108,,.16796726,,,.041696616,.24478605,,.44238988,,,.1340116,.26042968,,.51532376,,,.1480113,3.6942673,,,,Town
100060,2018,Andalusia City,Pre-Kindergarten,12,1,AL,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,135.16667,.0012330456,.013563502,.023427866,.32922319,.61528975,.52448547,.068926275,.59341174,.62971985,.0078651682,.13988765,811,0,0,0,0,-1.7149439e-08,9.9754800e-09,2.5883975e-09,7.6367188e-09,0,0,0,0,0,0,0,0,-.6763348,,-1.9452571,,,-.22441775,10.423781,,10.247476,,,10.528433,.22072816,,.064429112,,,.28049698,.17088512,,.2663444,,,.13411553,.075656876,,.12551801,,,.05684549,.15567978,,.22680615,,,.13405222,.24878791,,.40821728,,,.18768489,1.819236,,,,Town
100090,2018,Anniston City,Pre-Kindergarten,12,1,AL,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,143.16667,.0011641444,.0034924331,.046565775,.8917346,.053550642,.86458749,.040823415,.90541089,.80190933,.011811024,.10875984,859,.0096153617,.0044629374,.0079268217,-.0107418,.051907543,.061649278,.03056005,.0058373222,.017572727,.07350453,.026007893,.0053469287,.015714208,.0072275996,.0088276863,.034033716,-1.7171451,,-3.4903591,,,.24368741,10.346536,,9.9414997,,,10.634893,.20554031,,.11543042,,,.27313906,.27189726,,.40567937,,,.1186652,.10141472,,.17828105,,,.04421309,.25153291,,.37131685,,,.10806826,.35579026,,.54143775,,,.15865269,3.5331631,,,,City
