sedalea,sedaleaname,year,fips,stateabb,multi_comp,subcat,subgroup,gap,gradecenter,tot_asmts,cellcount,mn_asmts,flag_estasmt,cs_mn_avg_ol,cs_mn_avg_ol_se,cs_mn_avg_ol_se_adj,cs_mn_avg_eb,cs_mn_avg_eb_se,cs_mn_avg_eb_se_adj
100005,Albertville City,2018,1,AL,0,all,all,0,5.5,5103,12,425.25,0,-.3772012401483257,.0155639761156186,.0197465492959075,-.3822170327690331,.0143060646080712,.0187183505089892
100005,Albertville City,2018,1,AL,0,race,blk,0,5.5,174,12,14.5,0,-.6293904044684951,.0722006276662864,.0732162515564262,-.680636639458758,.0158691631953202,.0199384929652864
100005,Albertville City,2018,1,AL,0,ecd,ecd,0,5.5,2166,12,180.5,0,-.6374960732997882,.0228201699636454,.0258543809389787,-.6274373978662464,.0188790428683375,.0224082891098718
100005,Albertville City,2018,1,AL,0,gender,fem,0,5.5,2532,12,211,0,-.3183308093801364,.0211956114946867,.0244324129631491,-.3346013451459937,.0148217132966881,.0191153432157597
100005,Albertville City,2018,1,AL,0,race,hsp,0,5.5,2508,12,209,0,-.7037012939168631,.0209089082088125,.0241841125339076,-.6634170166226223,.0145282253461636,.0188886869029052
100005,Albertville City,2018,1,AL,0,gender,mal,0,5.5,2571,12,214.25,0,-.4352773051156837,.0227127573561952,.0257596235083038,-.4305928016213345,.0147283051871668,.0190430075065205
100005,Albertville City,2018,1,AL,0,gender,mfg,1,5.5,5103,12,425.25,0,-.1169464957355474,.0310664335474012,.0310664335474012,-.0959914564753408,.0052229483622693,.0052229483622693
100005,Albertville City,2018,1,AL,0,ecd,nec,0,5.5,2937,12,244.75,0,-.1774136581339487,.0205040736693333,.0238349720705858,-.1823383926173799,.0180410380825265,.0217069623923349
100005,Albertville City,2018,1,AL,0,ecd,neg,1,5.5,5103,12,425.25,0,.4600824151658395,.0306786113474374,.0306786113474374,.4450990052488666,.0165097045878805,.0165097045878805
100005,Albertville City,2018,1,AL,0,race,wbg,1,5.5,2425,12,202.0833333333333,0,.6359466282345062,.075506134622413,.075506134622413,.6096685365990572,.0070260886650354,.0070260886650354
100005,Albertville City,2018,1,AL,0,race,whg,1,5.5,4759,12,396.5833333333333,0,.7102575176828742,.0304208509528708,.0304208509528708,.5924489137629215,.0029334132198078,.0029334132198078
100005,Albertville City,2018,1,AL,0,race,wht,0,5.5,2251,12,187.5833333333333,0,.0065562237660111,.022096283176413,.02521774349105,-.0709681028597008,.0143827170781409,.0187769995408456
100006,Marshall County,2018,1,AL,0,all,all,0,5.5,5221,12,435.0833333333333,0,-.437644774923517,.0152638615338989,.0195108771072496,-.4353207537654652,.0142592002669735,.0186825574657413
100006,Marshall County,2018,1,AL,0,race,blk,0,5.5,60,12,5,0,-1.115305371050563,.1265763954624978,.1271584552628994,-1.056518631520275,.0158420325577289,.0199169063051271
100006,Marshall County,2018,1,AL,0,ecd,ecd,0,5.5,4087,12,340.5833333333333,0,-.5914624355239267,.0166862988198253,.0206427087581224,-.5828695198414117,.0159720421848821,.0200204718416606
100006,Marshall County,2018,1,AL,0,gender,fem,0,5.5,2507,12,208.9166666666667,0,-.3758895275777834,.0213904162765109,.0246016008635736,-.3476456671110879,.0147748451464731,.0190790254025023
